card_name,data
Field Marshal,"{'card': 'Field Marshal', 'numberTaken': 0, 'numberAvailable': 32, 'averageRound': None, 'suggestion': 'field of ruin', 'suggestions': ['field of ruin', 'field marshal', 'angelic field marshal', 'sima yi, wei field marshal']}"
Demystify,"{'card': 'Demystify', 'numberTaken': 0, 'numberAvailable': 32, 'averageRound': None, 'suggestion': 'demonic consultation', 'suggestions': ['demanding dragon', 'demystify']}"
"Cho-Manno, Revolutionary","{'card': 'Cho-Manno, Revolutionary', 'numberTaken': 0, 'numberAvailable': 32, 'averageRound': None, 'suggestion': 'choke', 'suggestions': ['choke', 'cho-manno, revolutionary']}"
Ghost Warden,"{'card': 'Ghost Warden', 'numberTaken': 0, 'numberAvailable': 32, 'averageRound': None, 'suggestion': 'ghost quarter', 'suggestions': ['ghost quarter', 'ghost warden']}"
High Ground,"{'card': 'High Ground', 'numberTaken': 0, 'numberAvailable': 32, 'averageRound': None, 'suggestion': 'high tide', 'suggestions': ['high market', 'high ground', 'take the high ground']}"
Heart of Light,"{'card': 'Heart of Light', 'numberTaken': 0, 'numberAvailable': 32, 'averageRound': None, 'suggestion': 'headliner scarlett', 'suggestions': ['heart of kiran', 'heart of light']}"
Holy Day,"{'card': 'Holy Day', 'numberTaken': 0, 'numberAvailable': 32, 'averageRound': None, 'suggestion': 'hope of ghirapur', 'suggestions': ['holy day']}"
Hail of Arrows,"{'card': 'Hail of Arrows', 'numberTaken': 0, 'numberAvailable': 32, 'averageRound': None, 'suggestion': 'hall of storm giants', 'suggestions': ['hagra mauling // hagra broodpit', 'hail of arrows']}"
Holy Strength,"{'card': 'Holy Strength', 'numberTaken': 0, 'numberAvailable': 32, 'averageRound': None, 'suggestion': 'hope of ghirapur', 'suggestions': ['holy day', 'holy strength', 'unholy strength']}"
Honor Guard,"{'card': 'Honor Guard', 'numberTaken': 0, 'numberAvailable': 32, 'averageRound': None, 'suggestion': 'hope of ghirapur', 'suggestions': ['honor of the pure', 'honor guard', 'benalish honor guard', 'coalition honor guard', 'crimson honor guard', ""teferi's honor guard"", 'tocatli honor guard', 'tomakul honor guard']}"
Icatian Priest,"{'card': 'Icatian Priest', 'numberTaken': 0, 'numberAvailable': 32, 'averageRound': None, 'suggestion': 'ice-fang coatl', 'suggestions': ['ice-fang coatl', 'icatian priest']}"
Luminesce,"{'card': 'Luminesce', 'numberTaken': 0, 'numberAvailable': 32, 'averageRound': None, 'suggestion': 'luminarch aspirant', 'suggestions': ['luminarch aspirant', 'luminesce', 'luminescent rain']}"
Loxodon Mystic,"{'card': 'Loxodon Mystic', 'numberTaken': 0, 'numberAvailable': 32, 'averageRound': None, 'suggestion': 'loaming shaman', 'suggestions': ['loxodon hierarch', 'loxodon mystic']}"
Loyal Sentry,"{'card': 'Loyal Sentry', 'numberTaken': 0, 'numberAvailable': 32, 'averageRound': None, 'suggestion': 'loaming shaman', 'suggestions': ['loyal retainers', 'loyal sentry']}"
Paladin en-Vec,"{'card': 'Paladin en-Vec', 'numberTaken': 0, 'numberAvailable': 32, 'averageRound': None, 'suggestion': 'paladin class', 'suggestions': ['paladin en-vec']}"
Pariah,"{'card': 'Pariah', 'numberTaken': 0, 'numberAvailable': 32, 'averageRound': None, 'suggestion': 'paradigm shift', 'suggestions': ['paradigm shift', 'pariah', ""pariah's shield"", 'ajani, nacatl pariah // ajani, nacatl avenger', 'tormented pariah // rampaging werewolf', 'voldaren pariah // abolisher of bloodlines']}"
Pacifism,"{'card': 'Pacifism', 'numberTaken': 0, 'numberAvailable': 32, 'averageRound': None, 'suggestion': 'pack rat', 'suggestions': ['pack rat', 'pacifism']}"
Kjeldoran Royal Guard,"{'card': 'Kjeldoran Royal Guard', 'numberTaken': 0, 'numberAvailable': 32, 'averageRound': None, 'suggestion': 'kaito shizuki', 'suggestions': ['kjeldoran outpost', 'kjeldoran royal guard']}"
Nomad Mythmaker,"{'card': 'Nomad Mythmaker', 'numberTaken': 0, 'numberAvailable': 32, 'averageRound': None, 'suggestion': 'nomads en-kor', 'suggestions': ['nomads en-kor', 'nomad mythmaker']}"
Rule of Law,"{'card': 'rule of law', 'colors': 'W', 'averageRound': 33, 'average': 263, 'numberAvailable': 32, 'numberTaken': 1, 'ratio': 0.0313, 'lotusScore': 0.939162234043, 'drafts': [{'card': None, 'draft': 'VRD Archives - StLotus10', 'gid': '234061621', 'occurrence': '2023-01-14T00:00:00.000Z', 'pick': None, 'maxRelease': '2003-10-02T00:00:00.000Z', 'occurance': '2023-01-14T00:00:00.000Z'}, {'card': None, 'draft': 'VRD Archives - DIS17', 'gid': '1817121486', 'occurrence': '2023-01-30T00:00:00.000Z', 'pick': None, 'maxRelease': '2003-10-02T00:00:00.000Z', 'occurance': '2023-01-30T00:00:00.000Z'}, {'card': 'rule of law', 'draft': 'VRD Archives - DIS18', 'gid': '1321266086', 'occurrence': '2023-02-02T00:00:00.000Z', 'pick': 263, 'maxRelease': '2003-10-02T00:00:00.000Z', 'occurance': '2023-02-02T00:00:00.000Z'}, {'card': None, 'draft': 'VRD Archives - DIS19', 'gid': '84620412', 'occurrence': '2023-02-10T00:00:00.000Z', 'pick': None, 'maxRelease': '2003-10-02T00:00:00.000Z', 'occurance': '2023-02-10T00:00:00.000Z'}, {'card': None, 'draft': 'VRD Archives - STLPresents3', 'gid': '402632389', 'occurrence': '2023-02-18T00:00:00.000Z', 'pick': None, 'maxRelease': '2003-10-02T00:00:00.000Z', 'occurance': '2023-02-18T00:00:00.000Z'}, {'card': None, 'draft': 'VRD Archives - DIS20', 'gid': '2133326284', 'occurrence': '2023-03-01T00:00:00.000Z', 'pick': None, 'maxRelease': '2003-10-02T00:00:00.000Z', 'occurance': '2023-03-01T00:00:00.000Z'}, {'card': None, 'draft': 'VRD Archives - StLotus11', 'gid': '925597639', 'occurrence': '2023-04-01T00:00:00.000Z', 'pick': None, 'maxRelease': '2003-10-02T00:00:00.000Z', 'occurance': '2023-04-01T00:00:00.000Z'}, {'card': None, 'draft': 'VRD Archives - MT4', 'gid': '1664019276', 'occurrence': '2023-05-01T00:00:00.000Z', 'pick': None, 'maxRelease': '2003-10-02T00:00:00.000Z', 'occurance': '2023-05-01T00:00:00.000Z'}, {'card': None, 'draft': 'VRD Archives - STLPresents4', 'gid': '1781732727', 'occurrence': '2023-05-20T00:00:00.000Z', 'pick': None, 'maxRelease': '2003-10-02T00:00:00.000Z', 'occurance': '2023-05-20T00:00:00.000Z'}, {'card': None, 'draft': 'VRD Archives - CHI4', 'gid': '2020127240', 'occurrence': '2023-06-01T00:00:00.000Z', 'pick': None, 'maxRelease': '2003-10-02T00:00:00.000Z', 'occurance': '2023-06-01T00:00:00.000Z'}, {'card': None, 'draft': 'VRD Archives - DIS21', 'gid': '1903257633', 'occurrence': '2023-06-28T00:00:00.000Z', 'pick': None, 'maxRelease': '2003-10-02T00:00:00.000Z', 'occurance': '2023-06-28T00:00:00.000Z'}, {'card': None, 'draft': 'VRD Archives - DIS22', 'gid': '1884831148', 'occurrence': '2023-07-01T00:00:00.000Z', 'pick': None, 'maxRelease': '2003-10-02T00:00:00.000Z', 'occurance': '2023-07-01T00:00:00.000Z'}, {'card': None, 'draft': 'VRD Archives - COL1', 'gid': '1582764244', 'occurrence': '2023-07-09T00:00:00.000Z', 'pick': None, 'maxRelease': '2003-10-02T00:00:00.000Z', 'occurance': '2023-07-09T00:00:00.000Z'}, {'card': None, 'draft': 'VRD Archives - StLotus12', 'gid': '1968116436', 'occurrence': '2023-07-30T00:00:00.000Z', 'pick': None, 'maxRelease': '2003-10-02T00:00:00.000Z', 'occurance': '2023-07-30T00:00:00.000Z'}, {'card': None, 'draft': 'VRD Archives - DIS23', 'gid': '1008615612', 'occurrence': '2023-08-01T00:00:00.000Z', 'pick': None, 'maxRelease': '2003-10-02T00:00:00.000Z', 'occurance': '2023-08-01T00:00:00.000Z'}, {'card': None, 'draft': 'VRD Archives - NYC6', 'gid': '326077006', 'occurrence': '2023-08-17T00:00:00.000Z', 'pick': None, 'maxRelease': '2003-10-02T00:00:00.000Z', 'occurance': '2023-08-17T00:00:00.000Z'}, {'card': None, 'draft': 'VRD Archives - DIS24', 'gid': '1716925941', 'occurrence': '2023-09-01T00:00:00.000Z', 'pick': None, 'maxRelease': '2003-10-02T00:00:00.000Z', 'occurance': '2023-09-01T00:00:00.000Z'}, {'card': None, 'draft': 'VRD Archives - DIS25', 'gid': '1910684336', 'occurrence': '2023-10-15T00:00:00.000Z', 'pick': None, 'maxRelease': '2003-10-02T00:00:00.000Z', 'occurance': '2023-10-15T00:00:00.000Z'}, {'card': None, 'draft': 'VRD Archives - StLotus13', 'gid': '1640330949', 'occurrence': '2023-12-02T00:00:00.000Z', 'pick': None, 'maxRelease': '2003-10-02T00:00:00.000Z', 'occurance': '2023-12-02T00:00:00.000Z'}, {'card': None, 'draft': 'VRD Archives - TOR1', 'gid': '906554463', 'occurrence': '2024-01-01T00:00:00.000Z', 'pick': None, 'maxRelease': '2003-10-02T00:00:00.000Z', 'occurance': '2024-01-01T00:00:00.000Z'}, {'card': None, 'draft': 'VRD Archives - DIS26', 'gid': '1918971365', 'occurrence': '2024-01-01T00:00:00.000Z', 'pick': None, 'maxRelease': '2003-10-02T00:00:00.000Z', 'occurance': '2024-01-01T00:00:00.000Z'}, {'card': None, 'draft': 'VRD Archives - DIS27', 'gid': '997079292', 'occurrence': '2024-02-15T00:00:00.000Z', 'pick': None, 'maxRelease': '2003-10-02T00:00:00.000Z', 'occurance': '2024-02-15T00:00:00.000Z'}, {'card': None, 'draft': 'VRD Archives - DIS28', 'gid': '1312128391', 'occurrence': '2024-03-03T00:00:00.000Z', 'pick': None, 'maxRelease': '2003-10-02T00:00:00.000Z', 'occurance': '2024-03-03T00:00:00.000Z'}, {'card': None, 'draft': 'VRD Archives - DIS29', 'gid': '1693348956', 'occurrence': '2024-03-16T00:00:00.000Z', 'pick': None, 'maxRelease': '2003-10-02T00:00:00.000Z', 'occurance': '2024-03-16T00:00:00.000Z'}, {'card': None, 'draft': 'VRD Archives - DIS30', 'gid': '1634458203', 'occurrence': '2024-05-01T00:00:00.000Z', 'pick': None, 'maxRelease': '2003-10-02T00:00:00.000Z', 'occurance': '2024-05-01T00:00:00.000Z'}, {'card': None, 'draft': 'VRD Archives - StLotus14', 'gid': '1605454232', 'occurrence': '2024-05-04T00:00:00.000Z', 'pick': None, 'maxRelease': '2003-10-02T00:00:00.000Z', 'occurance': '2024-05-04T00:00:00.000Z'}, {'card': None, 'draft': 'VRD Archives - MSP1', 'gid': '258078587', 'occurrence': '2024-06-06T00:00:00.000Z', 'pick': None, 'maxRelease': '2003-10-02T00:00:00.000Z', 'occurance': '2024-06-06T00:00:00.000Z'}, {'card': None, 'draft': 'VRD Archives - DIS31', 'gid': '55679847', 'occurrence': '2024-07-16T00:00:00.000Z', 'pick': None, 'maxRelease': '2003-10-02T00:00:00.000Z', 'occurance': '2024-07-16T00:00:00.000Z'}, {'card': None, 'draft': 'VRD Archives - STLPresents5', 'gid': '2100385436', 'occurrence': '2024-07-27T00:00:00.000Z', 'pick': None, 'maxRelease': '2003-10-02T00:00:00.000Z', 'occurance': '2024-07-27T00:00:00.000Z'}, {'card': None, 'draft': 'VRD Archives - DIS32', 'gid': '1942684760', 'occurrence': '2024-08-16T00:00:00.000Z', 'pick': None, 'maxRelease': '2003-10-02T00:00:00.000Z', 'occurance': '2024-08-16T00:00:00.000Z'}, {'card': None, 'draft': 'VRD Archives - DIS33', 'gid': '1901628944', 'occurrence': '2024-09-13T00:00:00.000Z', 'pick': None, 'maxRelease': '2003-10-02T00:00:00.000Z', 'occurance': '2024-09-13T00:00:00.000Z'}, {'card': None, 'draft': 'VRD Archives - STLPresents6', 'gid': '1637522781', 'occurrence': '2024-10-05T00:00:00.000Z', 'pick': None, 'maxRelease': '2003-10-02T00:00:00.000Z', 'occurance': '2024-10-05T00:00:00.000Z'}]}"
Mobilization,"{'card': 'Mobilization', 'numberTaken': 0, 'numberAvailable': 32, 'averageRound': None, 'suggestion': 'moat', 'suggestions': ['moat', 'mobilization']}"
Reviving Dose,"{'card': 'Reviving Dose', 'numberTaken': 0, 'numberAvailable': 32, 'averageRound': None, 'suggestion': 'revitalizing repast // old-growth grove', 'suggestions': ['revitalizing repast // old-growth grove', 'reviving dose']}"
Serra Angel,"{'card': 'Serra Angel', 'numberTaken': 0, 'numberAvailable': 32, 'averageRound': None, 'suggestion': 'serra paragon', 'suggestions': ['serra avenger', 'serra angel', 'serra angel avatar']}"
Serra's Embrace,"{'card': ""Serra's Embrace"", 'numberTaken': 0, 'numberAvailable': 32, 'averageRound': None, 'suggestion': ""serra's sanctum"", 'suggestions': [""serra's emissary"", ""serra's embrace""]}"
Righteousness,"{'card': 'Righteousness', 'numberTaken': 0, 'numberAvailable': 32, 'averageRound': None, 'suggestion': 'ricochet trap', 'suggestions': ['ricochet trap', 'righteousness', 'surge of righteousness']}"
Samite Healer,"{'card': 'Samite Healer', 'numberTaken': 0, 'numberAvailable': 32, 'averageRound': None, 'suggestion': 'samut, vizier of naktamun', 'suggestions': ['samurai of the pale curtain', 'samite healer', 'orim, samite healer']}"
Skyhunter Patrol,"{'card': 'Skyhunter Patrol', 'numberTaken': 0, 'numberAvailable': 32, 'averageRound': None, 'suggestion': 'skyclave apparition', 'suggestions': ['sky diamond', 'skyhunter patrol']}"
Reya Dawnbringer,"{'card': 'Reya Dawnbringer', 'numberTaken': 0, 'numberAvailable': 32, 'averageRound': None, 'suggestion': 'reality shift', 'suggestions': ['read the bones', 'reya dawnbringer']}"
Spirit Link,"{'card': 'Spirit Link', 'numberTaken': 0, 'numberAvailable': 32, 'averageRound': None, 'suggestion': 'spirit mantle', 'suggestions': ['spirit mantle', 'spirit link']}"
Soul Warden,"{'card': 'Soul Warden', 'numberTaken': 0, 'numberAvailable': 32, 'averageRound': None, 'suggestion': 'soul of windgrace', 'suggestions': ['soul of windgrace', 'soul warden']}"
Skyhunter Prowler,"{'card': 'Skyhunter Prowler', 'numberTaken': 0, 'numberAvailable': 32, 'averageRound': None, 'suggestion': 'skyclave apparition', 'suggestions': ['sky diamond', 'skyhunter prowler']}"
Skyhunter Skirmisher,"{'card': 'Skyhunter Skirmisher', 'numberTaken': 0, 'numberAvailable': 32, 'averageRound': None, 'suggestion': 'skyclave apparition', 'suggestions': ['sky diamond', 'skyhunter skirmisher']}"
Spirit Weaver,"{'card': 'Spirit Weaver', 'numberTaken': 0, 'numberAvailable': 32, 'averageRound': None, 'suggestion': 'spirit mantle', 'suggestions': ['spirit mantle', 'spirit weaver']}"
Story Circle,"{'card': 'Story Circle', 'numberTaken': 0, 'numberAvailable': 32, 'averageRound': None, 'suggestion': 'stormbreath dragon', 'suggestions': ['story circle', 'tamiyo meets the story circle']}"
Starlight Invoker,"{'card': 'Starlight Invoker', 'numberTaken': 0, 'numberAvailable': 32, 'averageRound': None, 'suggestion': 'starscream, power hungry // starscream, seeker leader', 'suggestions': ['starfield of nyx', 'starlight invoker']}"
Steadfast Guard,"{'card': 'Steadfast Guard', 'numberTaken': 0, 'numberAvailable': 32, 'averageRound': None, 'suggestion': 'steam vents', 'suggestions': ['steal artifact', 'steadfast guard']}"
True Believer,"{'card': 'True Believer', 'numberTaken': 0, 'numberAvailable': 32, 'averageRound': None, 'suggestion': 'true-name nemesis', 'suggestions': ['true believer']}"
Suntail Hawk,"{'card': 'Suntail Hawk', 'numberTaken': 0, 'numberAvailable': 32, 'averageRound': None, 'suggestion': 'sun titan', 'suggestions': ['sun quan, lord of wu', 'suntail hawk']}"
Tundra Wolves,"{'card': 'Tundra Wolves', 'numberTaken': 0, 'numberAvailable': 32, 'averageRound': None, 'suggestion': 'tundra', 'suggestions': ['tundra', 'tundra wolves']}"
Treasure Hunter,"{'card': 'Treasure Hunter', 'numberTaken': 0, 'numberAvailable': 32, 'averageRound': None, 'suggestion': 'treasure cruise', 'suggestions': ['treasure cruise', 'treasure hunter']}"
Tempest of Light,"{'card': 'Tempest of Light', 'numberTaken': 0, 'numberAvailable': 32, 'averageRound': None, 'suggestion': 'temple garden', 'suggestions': ['tempest of light']}"
