average,averageRound,card,colors,lotusScore,numberAvailable,numberTaken,ratio,suggestion
,,Bog Wraith,,,32,0,,boggart harbinger
,,Consume Spirit,,,32,0,,consider
,,Beacon of Unrest,,,32,0,,beast within
,,Afflict,,,32,0,,aarakocra sneak
,,Cruel Edict,,,32,0,,cruelclaw's heist
,,Contaminated Bond,,,32,0,,contamination
,,Diabolic Tutor,,,32,0,,diabolic intent
,,Distress,,,32,0,,disenchant
,,Doomed Necromancer,,,32,0,,doom blade
,,Dross Crocodile,,,32,0,,drown in the loch
,,Fear,,,32,0,,feed the swarm
,,Dusk Imp,,,32,0,,duelist of the mind
,,Essence Drain,,,32,0,,esper panorama
,,Grave Pact,,,32,0,,grave titan
,,Drudge Skeletons,,,32,0,,dragon's claw
67,9,hypnotic specter,B,2.568151595745,32,1,0.0313,
,,Gravedigger,,,32,0,,grave titan
,,Graveborn Muse,,,32,0,,grave titan
,,Festering Goblin,,,32,0,,feed the swarm
,,Hate Weaver,,,32,0,,hatred
,,Head Games,,,32,0,,headliner scarlett
,,Knight of Dusk,,,32,0,,knight of autumn
,,Hidden Horror,,,32,0,,hidetsugu consumes all // vessel of the all-consuming
,,Highway Robber,,,32,0,,high tide
,,Lord of the Pit,,,32,0,,lord of extinction
,,Looming Shade,,,32,0,,loot dispute
,,Mass of Ghouls,,,32,0,,massacre
,,Lord of the Undead,,,32,0,,lord of extinction
,,Mind Rot,,,32,0,,mind grind
,,Megrim,,,32,0,,meddling mage
,,Midnight Ritual,,,32,0,,"migloz, maze crusher"
,,Mortivore,,,32,0,,moat
,,Nantuko Husk,,,32,0,,"nadu, winged wisdom"
,,Mortal Combat,,,32,0,,moat
,,Nightmare,,,32,0,,night's whisper
,,Nekrataal,,,32,0,,necrogen mists
,,Plague Beetle,,,32,0,,plague belcher
,,Phyrexian Rager,,,32,0,,phyrexian revoker
,,Plague Wind,,,32,0,,plague belcher
,,Rain of Tears,,,32,0,,rain of filth
,,Phage the Untouchable,,,32,0,,phantasmal image
,,Relentless Rats,,,32,0,,relentless dead
,,Ravenous Rats,,,32,0,,ravenous trap
,,No Rest for the Wicked,,,32,0,,no more lies
,,Recover,,,32,0,,reckless stormseeker // storm-charged slasher
,,Royal Assassin,,,32,0,,robber of the rich
115,15,underworld dreams,B,2.169215425532,32,1,0.0313,
,,Sengir Vampire,,,32,0,,sensei's divining top
,,Scathe Zombies,,,32,0,,scab-clan berserker
,,Terror,,,32,0,,territorial kavu
,,Soul Feast,,,32,0,,soul of windgrace
,,Severed Legion,,,32,0,,sevinne's reclamation
,,Sleeper Agent,,,32,0,,sleight of hand
,,Thrull Surgeon,,,32,0,,"thrun, breaker of silence"
,,Spineless Thug,,,32,0,,spine of ish sah
,,Stronghold Discipline,,,32,0,,strangle
,,Vampire Bats,,,32,0,,vampire hexmage
,,Unholy Strength,,,32,0,,unholy heat
,,Blaze,,,32,0,,black lotus
,,Anaba Bodyguard,,,32,0,,anarchy
,,Arcane Teachings,,,32,0,,arcane artisan
,,Beacon of Destruction,,,32,0,,beast within
,,Bloodrock Cyclops,,,32,0,,blood artist
,,Bogardan Firefiend,,,32,0,,boggart harbinger
,,Bloodfire Colossus,,,32,0,,blood artist
,,Cryoclasm,,,32,0,,cry of the carnarium
,,Demolish,,,32,0,,demonic consultation
,,Cone of Flame,,,32,0,,concealed courtyard
,,Dragon Roost,,,32,0,,dragon's claw
262,33,goblin king,R,0.947473404255,32,1,0.0313,
,,Duct Crawler,,,32,0,,duelist of the mind
,,Firebreathing,,,32,0,,fireblast
,,Earth Elemental,,,32,0,,earthcraft
,,Furnace of Rath,,,32,0,,fury
,,Flowstone Slide,,,32,0,,flowering of the white tree
,,Flamewave Invoker,,,32,0,,flame blitz
,,Goblin Lore,,,32,0,,goblin lackey
361,46,lava axe,R,0.124667553191,32,1,0.0313,
231,29,incinerate,R,1.205119680851,32,1,0.0313,
,,Furnace Whelp,,,32,0,,fury
,,Fists of the Anvil,,,32,0,,field of ruin
,,Goblin Piker,,,32,0,,goblin assault
,,Goblin Elite Infantry,,,32,0,,goblin electromancer
282,36,mogg fanatic,R,0.78125,32,1,0.0313,
289,37,pyroclasm,R,4.338430851064,32,6,0.1875,
,,Goblin Sky Raider,,,32,0,,goblin assault
,,Hill Giant,,,32,0,,hibernation
,,Manabarbs,,,32,0,,manabond
,,Guerrilla Tactics,,,32,0,,gush
,,Lavaborn Muse,,,32,0,,lava axe
,,Lightning Elemental,,,32,0,,lightning bolt
,,"Kamahl, Pit Fighter",,,32,0,,"kambal, consul of allocation"
,,Orcish Artillery,,,32,0,,orcish bowmasters
,,Prodigal Pyromancer,,,32,0,,professor onyx
,,Raging Goblin,,,32,0,,raging ravine
,,Rage Weaver,,,32,0,,"ragavan, nimble pilferer"
266.3333,34,shock,R,2.734375831117,32,3,0.0938,
299,38,siege-gang commander,R,0.639960106383,32,1,0.0313,
,,Relentless Assault,,,32,0,,relentless dead
,,Shatterstorm,,,32,0,,"shatterskull smashing // shatterskull, the hammer pass"
,,Scoria Wurm,,,32,0,,scab-clan berserker
,,Rock Badger,,,32,0,,robber of the rich
,,Shivan Dragon,,,32,0,,shivan reef
,,Seismic Assault,,,32,0,,"sea gate restoration // sea gate, reborn"
,,Shivan Hellkite,,,32,0,,shivan reef
318.75,,Smash,R,1.903257978723,32,0,0.125,smash to smithereens
,,Shunt,,,32,0,,shadow in the warp
,,Soulblast,,,32,0,,soul of windgrace
,,Spark Elemental,,,32,0,,spark rupture
,,Stun,,,32,0,,stubborn denial
,,Threaten,,,32,0,,three steps ahead
,,Sudden Impact,,,32,0,,sudden edict
,,"Squee, Goblin Nabob",,,32,0,,"squee, dubious monarch"
,,Thundering Giant,,,32,0,,thundering falls
,,Spitting Earth,,,32,0,,spiteful banditry
117.7143,15,birds of paradise,G,60.106379654255,32,28,0.875,
,,Viashino Runner,,,32,0,,vindicate
,,Wall of Fire,,,32,0,,wall of roots
,,Abundance,,,32,0,,abundant growth
,,Warp World,,,32,0,,warping wail
,,Viashino Sandscout,,,32,0,,vindicate
,,Uncontrollable Anger,,,32,0,,unburial rites
,,Avatar of Might,,,32,0,,avacyn's pilgrim
,,Aggressive Urge,,,32,0,,"agadeem's awakening // agadeem, the undercrypt"
,,Canopy Spider,,,32,0,,canoptek scarab swarm
,,Blanchwood Armor,,,32,0,,black lotus
,,Craw Wurm,,,32,0,,crabomination
,,Creeping Mold,,,32,0,,creeping corrosion
,,Commune with Nature,,,32,0,,commandeer
,,Civic Wayfinder,,,32,0,,cinder glade
,,Elven Riders,,,32,0,,elven farsight
,,Elvish Champion,,,32,0,,elvish mystic
,,Elvish Piper,,,32,0,,elvish mystic
,,Elvish Berserker,,,32,0,,elvish mystic
,,Gaea's Herald,,,32,0,,gaea's blessing
,,Giant Growth,,,32,0,,gideon blackblade
,,Enormous Baloth,,,32,0,,enchantress's presence
234.6667,30,llanowar elves,G,3.523935339096,32,3,0.0938,
,,Femeref Archers,,,32,0,,feed the swarm
,,Hunted Wumpus,,,32,0,,hullbreacher
,,Giant Spider,,,32,0,,gideon blackblade
,,Grizzly Bears,,,32,0,,grief
,,Hurricane,,,32,0,,hurkyl's recall
,,Karplusan Strider,,,32,0,,karplusan forest
,,Joiner Adept,,,32,0,,"jolrael, mwonvuli recluse"
,,Lure,,,32,0,,lurrus of the dream-den
,,Kavu Climber,,,32,0,,kaito shizuki
,,Llanowar Sentinel,,,32,0,,llanowar elves
,,Overgrowth,,,32,0,,overgrown farmland
,,Naturalize,,,32,0,,natural order
,,Might of Oaks,,,32,0,,"migloz, maze crusher"
,,Might Weaver,,,32,0,,"migloz, maze crusher"
,,Natural Spring,,,32,0,,natural state
,,Overrun,,,32,0,,overcharged amalgam
,,"Mirri, Cat Warrior",,,32,0,,mirran crusader
,,"Molimo, Maro-Sorcerer",,,32,0,,molten collapse
,,Primal Rage,,,32,0,,primeval titan
,,Quirion Dryad,,,32,0,,quickling
,,Pincher Beetles,,,32,0,,pick your poison
,,Rampant Growth,,,32,0,,rampaging ferocidon
,,Root Maze,,,32,0,,rootwater thief
,,Recollect,,,32,0,,reckless stormseeker // storm-charged slasher
,,Rootwalla,,,32,0,,rootwater thief
,,Rhox,,,32,0,,rack and ruin
,,Regeneration,,,32,0,,regrowth
251.2857,32,sylvan scrying,G,7.255652426862,32,7,0.2188,
,,Scion of the Wild,,,32,0,,scion of draco
,,Rushwood Dryad,,,32,0,,ruby medallion
,,Seedborn Muse,,,32,0,,seedtime
,,Spined Wurm,,,32,0,,spine of ish sah
,,Skyshroud Ranger,,,32,0,,skyclave apparition
,,Tangle Spider,,,32,0,,tangle wire
,,Stalking Tiger,,,32,0,,standstill
,,Sylvan Basilisk,,,32,0,,sylvan caryatid
,,Treetop Bracers,,,32,0,,tree of tales
,,Troll Ascetic,,,32,0,,troll of khazad-dum
,,Verdant Force,,,32,0,,verdant catacombs
,,Stampeding Wildebeests,,,32,0,,standstill
,,Viridian Shaman,,,32,0,,virtue of loyalty // ardenvale fealty
,,Upwelling,,,32,0,,upheaval
230.9091,29,chromatic star,,13.264626828457,32,11,0.3438,
,,Wall of Wood,,,32,0,,wall of roots
162.6818,21,crucible of worlds,,39.004325132979,32,22,0.6875,
,,Bottle Gnomes,,,32,0,,botanical sanctum
,,Yavimaya Enchantress,,,32,0,,yavimaya coast
352,44,dragon's claw,,0.199468085106,32,1,0.0313,
,,Angel's Feather,,,32,0,,angel's grace
,,Chimeric Staff,,,32,0,,chill
,,Citanul Flute,,,32,0,,city of brass
,,Composite Golem,,,32,0,,complicate
,,Colossus of Sardia,,,32,0,,colossal skyturtle
,,Coat of Arms,,,32,0,,coalition relic
,,Demon's Horn,,,32,0,,demonic consultation
,,Doubling Cube,,,32,0,,dockside extortionist
,,Howling Mine,,,32,0,,hope of ghirapur
,,The Hive,,,32,0,,the book of exalted deeds
,,Fountain of Youth,,,32,0,,founding the third path
,,Juggernaut,,,32,0,,judge's familiar
218,28,mind stone,,2.626329787234,32,2,0.0625,
,,Icy Manipulator,,,32,0,,ice-fang coatl
,,Kraken's Eye,,,32,0,,krark-clan ironworks
,,Jayemdae Tome,,,32,0,,jace's defeat
259,33,ornithopter,,1.944813829787,32,2,0.0625,
,,Legacy Weapon,,,32,0,,legion extruder
249.8214,32,pithing needle,,29.363371010638,32,28,0.875,
314,40,sculpting steel,,0.515292553191,32,1,0.0313,
,,Leonin Scimitar,,,32,0,,leonin arbiter
,,Millstone,,,32,0,,"migloz, maze crusher"
,,Loxodon Warhammer,,,32,0,,loaming shaman
,,Mantis Engine,,,32,0,,mana confluence
241.8125,31,adarkar wastes,UW,17.844082446809,32,16,0.5,
249.1,32,battlefield forge,RW,10.546875,32,10,0.3125,
,,Razormane Masticore,,,32,0,,razortide bridge
271,34,brushland,GW,1.745345744681,32,2,0.0625,
,,Phyrexian Vault,,,32,0,,phyrexian altar
273.5,35,caves of koilos,BW,1.703789893617,32,2,0.0625,
254.5,32,faerie conclave,U,2.019614361702,32,2,0.0625,
,,Platinum Angel,,,32,0,,plateau
258.5,33,karplusan forest,GR,7.8125,32,8,0.25,
,,Spellbook,,,32,0,,spell pierce
291,37,llanowar wastes,BG,2.82579787234,32,4,0.125,
,,Rod of Ruin,,,32,0,,robber of the rich
,,Steel Golem,,,32,0,,steel overseer
296,37,sulfurous springs,BR,4.654255319149,32,7,0.2188,
242.2667,31,shivan reef,RU,16.672203291223,32,15,0.4688,
,,Wurm's Tooth,,,32,0,,wurmcoil engine
276.6,35,yavimaya coast,GU,8.261303191489,32,10,0.3125,
252.8824,32,underground river,BU,17.395272606383,32,17,0.5313,
,,Whispersilk Cloak,,,32,0,,whir of invention
,,Quicksand,,,32,0,,quickling
,,Forbidding Watchtower,,,32,0,,forbidden orchard
,,Ghitu Encampment,,,32,0,,"ghalta, stampede tyrant"
243,,Island,,1.105385638298,32,0,0.0313,island of wak-wak
,,Terramorphic Expanse,,,32,0,,territorial kavu
,,Mountain,,,32,0,,mount doom
,,Swamp,,,32,0,,swan song
,,Forest,,,32,0,,forensic gadgeteer
,,Treetop Village,,,32,0,,tree of tales
44,6,armageddon,W,2.759308510638,32,1,0.0313,
,,Spawning Pool,,,32,0,,spara's headquarters
,,Plains,,,32,0,,plague belcher
123.2963,16,balance,W,56.707113530585,32,27,0.8438,
,,Animate Wall,,,32,0,,animate dead
155,20,circle of protection: red,W,1.836768617021,32,1,0.0313,
,,Black Ward,,,32,0,,black lotus
203,,Castle,R,1.437832446809,32,0,0.0313,castle embereth
,,Circle of Protection: Blue,,,32,0,,circle of protection: red
,,Circle of Protection: Black,,,32,0,,circle of protection: red
,,Circle of Protection: Green,,,32,0,,circle of protection: red
,,Blue Ward,,,32,0,,blue elemental blast
,,Blessing,,,32,0,,black lotus
,,Benalish Hero,,,32,0,,beast within
,,Blaze of Glory,,,32,0,,black lotus
321,41,disenchant,W,0.457114361702,32,1,0.0313,
,,Circle of Protection: White,,,32,0,,circle of protection: red
,,Crusade,,,32,0,,crucible of worlds
,,Green Ward,,,32,0,,green sun's zenith
,,Death Ward,,,32,0,,death wish
,,Consecrate Land,,,32,0,,consider
,,Farmstead,,,32,0,,farewell
,,Conversion,,,32,0,,concealed courtyard
,,Holy Armor,,,32,0,,hope of ghirapur
,,Guardian Angel,,,32,0,,gush
,,Island Sanctuary,,,32,0,,island of wak-wak
,,Healing Salve,,,32,0,,headliner scarlett
,,Karma,,,32,0,,karmic guide
,,Lance,,,32,0,,land tax
,,Mesa Pegasus,,,32,0,,mesmeric fiend
62.9688,8,swords to plowshares,W,83.252978723404,32,32,1,
,,Purelace,,,32,0,,puresteel paladin
,,Personal Incarnation,,,32,0,,personal tutor
,,Pearled Unicorn,,,32,0,,peek
,,Northern Paladin,,,32,0,,no more lies
,,Red Ward,,,32,0,,red elemental blast
,,Savannah Lions,,,32,0,,savannah
,,Reverse Damage,,,32,0,,reverberate
1.75,1,ancestral recall,U,99.534574468085,32,32,1,
187.6087,24,blue elemental blast,U,36.012299700798,32,23,0.7188,
,,Resurrection,,,32,0,,reshape
116,15,counterspell,U,62.666223404255,32,29,0.9063,
,,White Knight,,,32,0,,white plume adventurer
,,White Ward,,,32,0,,white plume adventurer
,,Veteran Bodyguard,,,32,0,,vedalken shackles
,,Control Magic,,,32,0,,containment priest
,,Animate Artifact,,,32,0,,animate dead
,,Copy Artifact,,,32,0,,coppercoat vanguard
,,Braingeyser,,,32,0,,brain freeze
,,Feedback,,,32,0,,feed the swarm
,,Drain Power,,,32,0,,dragon's claw
,,Flight,,,32,0,,flickerwisp
,,Jump,,,32,0,,judge's familiar
,,Creature Bond,,,32,0,,creeping corrosion
,,Lifetap,,,32,0,,life // death
,,Invisibility,,,32,0,,invasion of alara // awaken the maelstrom
,,Lord of Atlantis,,,32,0,,lord of extinction
,,Magical Hack,,,32,0,,"magda, brazen outlaw"
,,Mana Short,,,32,0,,mana confluence
368,46,psionic blast,U,0.066489361702,32,1,0.0313,
,,Phantasmal Forces,,,32,0,,phantasmal image
,,Pirate Ship,,,32,0,,piranha marsh
,,Power Leak,,,32,0,,power artifact
,,Phantasmal Terrain,,,32,0,,phantasmal image
,,Phantom Monster,,,32,0,,phantasmal image
,,Psychic Venom,,,32,0,,psychic frog
,,Merfolk of the Pearl Trident,,,32,0,,merchant scroll
277.5,35,stasis,U,1.637300531915,32,2,0.0625,
,,Power Sink,,,32,0,,power artifact
,,Prodigal Sorcerer,,,32,0,,professor onyx
8.5,2,time walk,U,97.739361702128,32,32,1,
68,9,timetwister,U,81.914893617021,32,32,1,
,,Sea Serpent,,,32,0,,"sea gate restoration // sea gate, reborn"
,,Siren's Call,,,32,0,,sire of insanity
,,Sleight of Mind,,,32,0,,sleight of hand
190.4583,24,animate dead,B,37.009647606383,32,24,0.75,
,,Spell Blast,,,32,0,,spell pierce
,,Twiddle,,,32,0,,twilight mire
,,Thoughtlace,,,32,0,,thought erasure
,,Steal Artifact,,,32,0,,steam vents
98.1667,13,dark ritual,B,69.273595412234,32,30,0.9375,
,,Vesuvan Doppelganger,,,32,0,,vesuva
,,Wall of Water,,,32,0,,wall of roots
,,Volcanic Eruption,,,32,0,,volcanic island
,,Bad Moon,,,32,0,,badlands
,,Water Elemental,,,32,0,,waterlogged grove
,,Cursed Land,,,32,0,,cursed mirror
34.0313,5,demonic tutor,B,90.949122340426,32,32,1,
,,Black Knight,,,32,0,,black lotus
,,Darkpact,,,32,0,,dark confidant
,,Deathgrip,,,32,0,,death wish
,,Contract from Below,,,32,0,,containment priest
194,25,gloom,B,1.512632978723,32,1,0.0313,
,,Deathlace,,,32,0,,death wish
148.08,19,mind twist,B,47.35704787234,32,25,0.7813,
,,Demonic Hordes,,,32,0,,demonic consultation
,,Demonic Attorney,,,32,0,,demonic consultation
,,Drain Life,,,32,0,,dragon's claw
332,,Lich,,0.365691489362,32,0,0.0313,lich's mirror
,,Evil Presence,,,32,0,,evasive action
,,Frozen Shade,,,32,0,,frogmite
,,Paralyze,,,32,0,,paradigm shift
,,Nether Shadow,,,32,0,,nether void
307,,Pestilence,B,0.573470744681,32,0,0.0313,pestilence rats
,,Nettling Imp,,,32,0,,nettlecyst
,,Howl from Beyond,,,32,0,,hope of ghirapur
,,Plague Rats,,,32,0,,plague belcher
,,Raise Dead,,,32,0,,rain of filth
,,Sacrifice,,,32,0,,sacred foundry
,,Wall of Bone,,,32,0,,wall of roots
,,Scavenging Ghoul,,,32,0,,scavenging ooze
,,Sinkhole,,,32,0,,sink into stupor // soporific springs
,,Weakness,,,32,0,,wear // tear
,,Simulacrum,,,32,0,,simian spirit guide
,,Warp Artifact,,,32,0,,warping wail
,,Word of Command,,,32,0,,worldly tutor
,,Will-o'-the-Wisp,,,32,0,,wild growth
,,Burrowing,,,32,0,,burrenton forge-tender
,,Zombie Master,,,32,0,,"zabaz, the glimmerwasp"
,,Chaoslace,,,32,0,,chaos defiler
,,Disintegrate,,,32,0,,disenchant
,,Dragon Whelp,,,32,0,,dragon's claw
,,Earthbind,,,32,0,,earthcraft
,,Earthquake,,,32,0,,earthcraft
,,False Orders,,,32,0,,fallen shinobi
,,Flashfires,,,32,0,,flashfreeze
,,Fireball,,,32,0,,fireblast
,,Fire Elemental,,,32,0,,fire // ice
322,,Fork,R,0.448803191489,32,0,0.0313,forked bolt
68.5938,9,lightning bolt,R,81.756968085106,32,32,1,
,,Gray Ogre,,,32,0,,gray merchant of asphodel
,,Dwarven Warriors,,,32,0,,dack fayden
,,Goblin Balloon Brigade,,,32,0,,goblin bombardment
,,Granite Gargoyle,,,32,0,,grand abolisher
,,Dwarven Demolition Team,,,32,0,,dack fayden
101.0313,13,red elemental blast,R,73.129973404255,32,32,1,
,,Hurloon Minotaur,,,32,0,,hurkyl's recall
,,Mana Flare,,,32,0,,mana confluence
,,Ironclaw Orcs,,,32,0,,iron apprentice
,,Keldon Warlord,,,32,0,,keen duelist
,,Raging River,,,32,0,,raging ravine
,,Mons's Goblin Raiders,,,32,0,,monster manual // zoological study
,,Power Surge,,,32,0,,power artifact
,,Orcish Oriflamme,,,32,0,,orcish bowmasters
,,Smoke,,,32,0,,smoldering marsh
355,,Shatter,RW,0.174534574468,32,0,0.0313,shattering blow
,,Rock Hydra,,,32,0,,robber of the rich
118.25,15,wheel of fortune,R,59.981715425532,32,28,0.875,
,,Sedge Troll,,,32,0,,sedgemoor witch
,,Stone Giant,,,32,0,,stone of erech
,,Roc of Kher Ridges,,,32,0,,robber of the rich
357,45,berserk,G,0.157912234043,32,1,0.0313,
,,Stone Rain,,,32,0,,stone of erech
135.0909,17,channel,G,44.049203789894,32,22,0.6875,
,,Tunnel,,,32,0,,tundra
41.2069,6,fastbond,G,80.693150764628,32,29,0.9063,
,,Wall of Stone,,,32,0,,wall of roots
,,Uthden Troll,,,32,0,,utopia sprawl
,,Fog,,,32,0,,foil
,,Elvish Archers,,,32,0,,elvish mystic
,,Two-Headed Giant of Foriys,,,32,0,,twilight mire
,,Aspect of Wolf,,,32,0,,ash barrens
,,Force of Nature,,,32,0,,force of negation
,,Camouflage,,,32,0,,cabal coffers
,,Fungusaur,,,32,0,,funeral charm
,,Cockatrice,,,32,0,,coalition relic
,,Gaea's Liege,,,32,0,,gaea's blessing
,,Ice Storm,,,32,0,,ice-fang coatl
189.6,24,regrowth,G,7.746010638298,32,5,0.1563,
,,Lifeforce,,,32,0,,life // death
,,Kudzu,,,32,0,,kuldotha rebirth
,,Lifelace,,,32,0,,life // death
,,Ley Druid,,,32,0,,leyline binding
,,Ironroot Treefolk,,,32,0,,iron apprentice
,,Instill Energy,,,32,0,,inspiring vantage
,,Living Artifact,,,32,0,,living wish
354,45,tsunami,G,0.182845744681,32,1,0.0313,
,,Natural Selection,,,32,0,,natural state
,,Living Lands,,,32,0,,living wish
,,Scryb Sprites,,,32,0,,scroll rack
,,Stream of Life,,,32,0,,street wraith
,,Tranquility,,,32,0,,transmute artifact
,,Wall of Ice,,,32,0,,wall of roots
,,Thicket Basilisk,,,32,0,,thief of existence
,,Shanodin Dryads,,,32,0,,shadow in the warp
202,26,wild growth,G,1.446143617021,32,1,0.0313,
,,Wanderlust,,,32,0,,wandering fumarole
,,Timber Wolves,,,32,0,,time spiral
,,Verduran Enchantress,,,32,0,,verdant catacombs
,,Wall of Brambles,,,32,0,,wall of roots
1.6875,1,black lotus,,99.551196808511,32,32,1,
